city,hotel_name,room_type_name,price,checkin,checkout,url
Lisbon,"Lisboa Pessoa Hotel, Lisbon (updated prices 2026)",Double Room with Terrace and View,8205756.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/lisboa-pessoa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=195850403_0_2_0_0&highlighted_blocks=195850403_0_2_0_0&matching_block_id=195850403_0_2_0_0&sr_pri_blocks=195850403_0_2_0_0__28096&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Lisboa Pessoa Hotel, Lisbon (updated prices 2026)",Communicating Rooms,16268626.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/lisboa-pessoa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=195850403_0_2_0_0&highlighted_blocks=195850403_0_2_0_0&matching_block_id=195850403_0_2_0_0&sr_pri_blocks=195850403_0_2_0_0__28096&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Lisboa Pessoa Hotel, Lisbon (updated prices 2026)",Standard Twin Room,6899367.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/lisboa-pessoa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=195850403_0_2_0_0&highlighted_blocks=195850403_0_2_0_0&matching_block_id=195850403_0_2_0_0&sr_pri_blocks=195850403_0_2_0_0__28096&from_sustainable_property_sr=1&from=searchresults
Lisbon,Suites Almirante Reis,Twin Room with Private Bathroom,1428863.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/suites-almirante-reis-arroios.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1400875909_411942548_2_0_0&highlighted_blocks=1400875909_411942548_2_0_0&matching_block_id=1400875909_411942548_2_0_0&sr_pri_blocks=1400875909_411942548_2_0_0__7000&from=searchresults
Lisbon,Suites Almirante Reis,Single Room with Private Bathroom,1143092.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/suites-almirante-reis-arroios.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1400875909_411942548_2_0_0&highlighted_blocks=1400875909_411942548_2_0_0&matching_block_id=1400875909_411942548_2_0_0&sr_pri_blocks=1400875909_411942548_2_0_0__7000&from=searchresults
Lisbon,Suites Almirante Reis,Single Room with Private Bathroom,1143092.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/suites-almirante-reis-arroios.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1400875909_411942548_2_0_0&highlighted_blocks=1400875909_411942548_2_0_0&matching_block_id=1400875909_411942548_2_0_0&sr_pri_blocks=1400875909_411942548_2_0_0__7000&from=searchresults
Lisbon,"Docas Hotel Lisbon, Lisbon (updated prices 2026)",Standard Double Room,4462137.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/docas-lisboa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1616586702_432524274_0_42_0&highlighted_blocks=1616586702_432524274_0_42_0&matching_block_id=1616586702_432524274_0_42_0&sr_pri_blocks=1616586702_432524274_0_42_0__21860&from=searchresults
Lisbon,"Docas Hotel Lisbon, Lisbon (updated prices 2026)",Deluxe Double or Twin Room with River View,5086752.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/docas-lisboa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1616586702_432524274_0_42_0&highlighted_blocks=1616586702_432524274_0_42_0&matching_block_id=1616586702_432524274_0_42_0&sr_pri_blocks=1616586702_432524274_0_42_0__21860&from=searchresults
Lisbon,"Docas Hotel Lisbon, Lisbon (updated prices 2026)",Superior Double or Twin Room with Terrace,5729743.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/docas-lisboa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1616586702_432524274_0_42_0&highlighted_blocks=1616586702_432524274_0_42_0&matching_block_id=1616586702_432524274_0_42_0&sr_pri_blocks=1616586702_432524274_0_42_0__21860&from=searchresults
Lisbon,"Docas Hotel Lisbon, Lisbon (updated prices 2026)",Budget Double Room,6016330.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/docas-lisboa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1616586702_432524274_0_42_0&highlighted_blocks=1616586702_432524274_0_42_0&matching_block_id=1616586702_432524274_0_42_0&sr_pri_blocks=1616586702_432524274_0_42_0__21860&from=searchresults
Lisbon,"TURIM Lisboa Hotel, Lisbon (updated prices 2026)",Superior Double Room,3869714.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/turim-lisboa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=3893123_0_2_0_0&highlighted_blocks=3893123_0_2_0_0&matching_block_id=3893123_0_2_0_0&sr_pri_blocks=3893123_0_2_0_0__18958&from=searchresults
Lisbon,"TURIM Lisboa Hotel, Lisbon (updated prices 2026)",Superior Double Room,4164115.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/turim-lisboa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=3893123_0_2_0_0&highlighted_blocks=3893123_0_2_0_0&matching_block_id=3893123_0_2_0_0&sr_pri_blocks=3893123_0_2_0_0__18958&from=searchresults
Lisbon,"TURIM Lisboa Hotel, Lisbon (updated prices 2026)",Executive Twin Room,4715250.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/turim-lisboa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=3893123_0_2_0_0&highlighted_blocks=3893123_0_2_0_0&matching_block_id=3893123_0_2_0_0&sr_pri_blocks=3893123_0_2_0_0__18958&from=searchresults
